trialnum,tgt_distance,tgt_angle,rotation,online_fb,endpoint_feedback,VMR,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct_text.started,Instruct_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target.started,target.stopped,Invis_Home.started,Invis_Home.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,Cursor_2.started,Cursor_2.stopped,EndpointMarker.started,EndpointMarker.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,18.541275000025053,None,space,1.2262038000044413,18.541275000025053,None,,,,,,,,,,,,,,,,,001,2022_Apr_27_1256,VMR_demo_copy1,2021.2.3,59.117063010949224,
2,0.354,45,30,1,1,0,0,0,0,0,,,,,,,19.89524679997703,None,19.89524679997703,None,-0.8111111,0.27407408,0,0,0,None,None,19.89524679997703,None,19.89524679997703,None,,001,2022_Apr_27_1256,VMR_demo_copy1,2021.2.3,59.117063010949224,
