trialnum,tgt_distance,tgt_angle,rotation,online_fb,endpoint_feedback,VMR,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct_text.started,Instruct_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target.started,target.stopped,Invis_Home.started,Invis_Home.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,Cursor_2.started,Cursor_2.stopped,EndpointMarker.started,EndpointMarker.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,12.654177799995523,None,space,0.8834523000114132,12.654177799995523,None,,,,,,,,,,,,,,,,,001,2022_Apr_25_1742,VMR_demo_copy1,2021.2.3,59.26003183628374,
2,0.354,45,30,1,1,0,0,0,0,0,,,,,,,13.626518900011433,None,13.626518900011433,None,0.25833333,-0.26018518,0,0,0,None,None,13.626518900011433,None,13.626518900011433,None,,001,2022_Apr_25_1742,VMR_demo_copy1,2021.2.3,59.26003183628374,
3,0.354,270,30,1,1,0,0,1,1,1,,,,,,,15.71760639999411,None,15.71760639999411,None,0.65555555,0.3935185,0,0,0,None,None,15.71760639999411,None,15.71760639999411,None,,001,2022_Apr_25_1742,VMR_demo_copy1,2021.2.3,59.26003183628374,
4,0.354,135,30,1,1,0,0,2,2,2,,,,,,,17.865442300011637,None,17.865442300011637,None,-0.8888889,0.5,0,0,0,None,None,17.865442300011637,None,17.865442300011637,None,,001,2022_Apr_25_1742,VMR_demo_copy1,2021.2.3,59.26003183628374,
